商品,特征,大类,二级类
430g泰奇八宝粥,"泰奇八宝粥,八宝粥,泰奇",非饮料,方便速食
450ml美汁源果粒橙,"美汁源果粒橙,橙汁,美汁源",饮料,果蔬饮料
480ml小茗同学冷泡溜溜哒茶,"小茗同学冷泡溜溜哒茶,小茗同学",饮料,茶饮料
480ml小茗同学冷泡青柠红茶,"小茗同学冷泡青柠红茶,小茗同学",饮料,茶饮料
500ML宝矿力,宝矿力,饮料,功能饮料
500ml加多宝,加多宝,饮料,茶饮料
500ml农夫果园 (芒果+菠萝+番石榴),农夫果园,饮料,果蔬饮料
500ml统一阿萨姆奶茶,"阿萨姆奶茶,奶茶,统一",饮料,茶饮料
50g马赛克手撕鱿鱼条,"马赛克手撕鱿鱼条,马赛克",非饮料,海味零食
50g上好佳田园薯片番茄味,"上好佳田园薯片,番茄味,上好佳",非饮料,膨化食品
55g奥利奥原味芝士饼干,"奥利奥原味芝士饼干,原味,奥利奥",非饮料,饼干糕点
56g益达无糖口香糖,"益达无糖口香糖,无糖,口香糖,益达",非饮料,糖果/巧克力
58g丽芝士纳宝帝奶酪威化饼干,威化饼干,非饮料,饼干糕点
600ml可口可乐,"可口可乐,可乐",饮料,碳酸饮料
600ml脉动青柠,脉动青柠,饮料,功能饮料
600ml雪碧,雪碧,饮料,碳酸饮料
60g湖湘贡手撕鸭脖原味,"湖湘贡手撕鸭脖,原味,湖湘贡",非饮料,肉干/豆制品/蛋
60g溜溜九制梅,溜溜九制梅,非饮料,蜜饯/果干
65g格力高百力滋饼干巧克力味,"格力高百力滋饼干,巧克力味,格力高",非饮料,饼干糕点
68g多力多玉米片爆香热辣味,"玉米片,热辣味",非饮料,膨化食品
70g乖媳妇野山泡椒凤爪,"乖媳妇野山泡椒凤爪,泡椒味,凤爪,乖媳妇",非饮料,肉干/豆制品/蛋
70g乐事薯片（黄瓜味）,"乐事薯片,薯片,黄瓜味,乐事",非饮料,膨化食品
70g乐事薯片（原味）,"乐事薯片,薯片,原味,乐事",非饮料,膨化食品
75g达利园柠檬蛋糕,"达利园柠檬蛋糕,蛋糕,柠檬味",非饮料,饼干糕点
75g新麦潮天然酵母面包（北海道牛奶风味）,"新麦潮天然酵母面包,牛奶味,面包,新麦潮",非饮料,饼干糕点
78g卫龙亲语,"卫龙亲语,卫龙",非饮料,肉干/豆制品/蛋
80g马赛克香蕉片,"马赛克香蕉片,香蕉片,马赛克",非饮料,蜜饯/果干
80g盼盼手撕面包,"盼盼手撕面包,面包,盼盼",非饮料,饼干糕点
80g四洲粟一烧烧烤味,"四洲粟一烧,烧烤味",非饮料,膨化食品
80g粤光宝盒芒果干,"粤光宝盒芒果干,粤光宝盒,芒果干",非饮料,蜜饯/果干
85g嘉士利果乐果香夹心饼干蓝莓味,"嘉士利果乐果香夹心饼干,蓝莓味,嘉士利",非饮料,饼干糕点
85g统一老坛酸菜牛肉面,"统一老坛酸菜牛肉面,统一,泡面,老坛酸菜",非饮料,方便速食
85g新麦潮北海道吐司,"新麦潮北海道吐司,新麦潮,土司",非饮料,饼干糕点
85g新麦潮手撕面包（提子味）,"新麦潮手撕面包,提子味,面包,新麦潮",非饮料,饼干糕点
86g合味道海鲜风味,"合味道,海鲜味",非饮料,方便速食
86g合味道浓猪骨味,"合味道,猪骨味",非饮料,方便速食
90g顺宝九制杨梅,"顺宝九制杨梅,顺宝九制,杨梅",非饮料,蜜饯/果干
奥利奥原味芝士,"奥利奥原味芝士,奥利奥,原味",非饮料,饼干糕点
多芙利香草奶油味蛋糕,"多芙利香草奶油味蛋糕,多芙利,奶油味,蛋糕",非饮料,饼干糕点
多力多滋（热辣味）,"多力多滋,热辣味",非饮料,膨化食品
钙芝奶酪味高钙威化饼干,"钙芝奶酪味高钙威化饼干,奶酪味,钙芝",非饮料,饼干糕点
乖媳妇野山椒风爪,"乖媳妇野山椒风爪,乖媳妇,凤爪,山椒味",非饮料,肉干/豆制品/蛋
韩国海牌海苔,韩国海牌海苔,非饮料,海味零食
合味道（海鲜风味）,"合味道,海鲜风味",非饮料,方便速食
合味道（浓猪骨）,"合味道,猪骨味",非饮料,方便速食
红牛,红牛,饮料,功能饮料
加多宝,加多宝,饮料,茶饮料
健能酸奶,"健能酸奶,酸奶",饮料,乳制品
劲仔小鱼,劲仔小鱼,非饮料,肉干/豆制品/蛋
劲仔小鱼（酱汁味）,"劲仔小鱼,酱汁味",非饮料,肉干/豆制品/蛋
劲仔小鱼（卤香味）,"劲仔小鱼,卤香味",非饮料,肉干/豆制品/蛋
劲仔小鱼（麻辣味）,"劲仔小鱼,麻辣味",非饮料,肉干/豆制品/蛋
劲仔小鱼（香辣味）,"劲仔小鱼,香辣味",非饮料,肉干/豆制品/蛋
可乐可乐,可乐,饮料,碳酸饮料
乐事薯片（黄瓜味）,"乐事薯片,黄瓜味,乐事",非饮料,膨化食品
乐事薯片（青柠）,"乐事薯片,青柠味",非饮料,膨化食品
丽芝士纳宝帝奶酪威化饼干,"丽芝士纳宝帝奶酪威化饼干,奶酪味,丽芝士",非饮料,饼干糕点
脉动（青柠）,"脉动,青柠味",饮料,功能饮料
脉动（椰子菠萝口味）,"脉动,椰子菠萝口味",饮料,功能饮料
美汁源果粒橙,"美汁源果粒橙,橙汁,美汁源",饮料,果蔬饮料
咪咪虾条马来西亚风味,"咪咪虾条马来西亚风味,虾条,咪咪虾条",非饮料,膨化食品
农夫果园,农夫果园,饮料,果蔬饮料
盼盼手撕面包,"盼盼手撕面包,面包,盼盼",非饮料,饼干糕点
巧克力奶油味蛋糕,"巧克力奶油味蛋糕,巧克力奶油味,蛋糕",非饮料,饼干糕点
雀巢咖啡,"雀巢咖啡,咖啡",饮料,咖啡
日式鱼果,"日式鱼果,鱼果",非饮料,膨化食品
上好佳田园薯片,"上好佳田园薯片,上好佳,薯片",非饮料,膨化食品
双汇玉米热狗肠,"双汇玉米热狗肠,玉米味,肠,双汇",非饮料,肉干/豆制品/蛋
顺宝九制梅,"顺宝九制梅,顺宝九制,梅",非饮料,蜜饯/果干
四洲粟一烧烧烤味,"四洲粟一烧,烧烤味",非饮料,膨化食品
泰奇八宝粥,"泰奇八宝粥,八宝粥,泰奇",非饮料,方便速食
统一阿萨姆奶茶,"统一阿萨姆奶茶,统一,奶茶",饮料,茶饮料
统一来一桶香辣老坛酸菜牛肉面,"统一来一桶香辣老坛酸菜牛肉面,统一,老坛酸菜,泡面",非饮料,方便速食
旺仔牛奶,旺仔牛奶,饮料,乳制品
旺仔牛奶145ml,旺仔牛奶,饮料,乳制品
维他奶（巧克力味）,"维他奶,巧克力味,维他",饮料,植物蛋白
维他奶黑豆奶饮品,"维他奶黑豆奶饮品,维他,豆奶",饮料,植物蛋白
维他柠檬茶,"维他柠檬茶,维他,柠檬味",饮料,茶饮料
维他原味豆奶,"维他原味豆奶,原味,豆奶,维他",饮料,植物蛋白
卫龙亲嘴烧红烧牛肉味,"卫龙亲嘴烧红烧牛肉味,卫龙,牛肉味",非饮料,肉干/豆制品/蛋
卫龙亲嘴烧麦辣鸡汁味,"卫龙亲嘴烧麦辣鸡汁味,卫龙,麻辣鸡汁味",非饮料,肉干/豆制品/蛋
味之不规则饼干（番茄味）,"味之不规则饼干,番茄味",非饮料,饼干糕点
味之不规则饼干（芝士味）,"味之不规则饼干,芝士味",非饮料,饼干糕点
无穷烤鸡小腿（蜂蜜）,"无穷烤鸡小腿,蜂蜜",非饮料,肉干/豆制品/蛋
无穷农场盐_鸡蛋,"无穷农场,鸡蛋",非饮料,肉干/豆制品/蛋
小茗同学（青柠红茶）,"小茗同学青柠红茶,小茗同学,红茶,青柠味",饮料,茶饮料
小茗同学冷泡茶（乳酸菌味）,"小茗同学冷泡茶,乳酸菌味,小茗同学",饮料,茶饮料
新麦潮北海道吐司,"新麦潮北海道吐司,新麦潮,土司",非饮料,饼干糕点
新麦潮手撕面包（提子味）,"新麦潮手撕面包,提子味,面包,新麦潮",非饮料,饼干糕点
新麦潮天然酵母面包,"新麦潮天然酵母面包,面包,新麦潮",非饮料,饼干糕点
新麦潮天然酵母面包（良品铺子）,"新麦潮天然酵母面包,良品铺子,面包,新麦潮",非饮料,饼干糕点
新麦潮天然酵母面包（牛奶风味）,"新麦潮天然酵母面包,牛奶味,面包,新麦潮",非饮料,饼干糕点
雪碧,雪碧,饮料,碳酸饮料
燕塘红枣牛奶,"燕塘红枣牛奶,红枣味,牛奶,燕塘",饮料,乳制品
燕塘甜牛奶,"燕塘甜牛奶,牛奶,甜,燕塘",饮料,乳制品
燕塘原味酸奶,"燕塘原味酸奶,酸奶,原味,燕塘",饮料,乳制品
益力多100g*5瓶,益力多,饮料,乳制品
优益C活菌型乳酸菌饮品,"优益C活菌型乳酸菌饮品,酸奶",饮料,乳制品
越南LIPO奶味面包干100g,"越南面包干,奶味",非饮料,饼干糕点
越南LIPO奶味面包干10g,"越南面包干,奶味",非饮料,饼干糕点
100g卫龙点心面黑椒牛排味,"卫龙点心面,黑椒牛排味,卫龙",非饮料,肉干/豆制品/蛋
10g越南LIPO奶味面包干0015,"越南面包干,奶味",非饮料,饼干糕点
10g越南LIPO奶味面包干0046,"越南面包干,奶味",非饮料,饼干糕点
14g德芙巧克力,"德芙巧克力,德芙,巧克力",非饮料,糖果/巧克力
180g统一满汉全席台式半筋半肉牛肉面,"统一满汉全席台式半筋半肉牛肉面,统一,泡面,牛肉味",非饮料,方便速食
188g澳门永辉鸡仔饼,"澳门永辉鸡仔饼,澳门",非饮料,饼干糕点
20g马来西亚风味咪咪蟹味粒0219,"马来西亚风味咪咪蟹味粒,蟹味",非饮料,膨化食品
220g宝丰龙龟苓膏绿豆味,"宝丰龙龟苓膏,宝丰龙,绿豆味",非饮料,果冻/龟苓膏
250ml统一麦香奶茶,"统一麦香奶茶,统一,奶茶",饮料,茶饮料
260g马来西亚进口茱蒂丝口口香饼干,"马来西亚进口茱蒂丝口口香饼干,饼干",非饮料,饼干糕点
330ml伊利畅意乳酸菌草莓味,"伊利畅意乳酸菌,草莓味,伊利,酸奶",饮料,乳制品
37.5g费列罗榛果威化巧克力3颗,"费列罗榛果威化巧克力,巧克力",非饮料,糖果/巧克力
40g乐事薯片墨西哥鸡汁番茄味,"乐事薯片,墨西哥鸡汁番茄味,乐事",非饮料,膨化食品
40g呀土豆薯片滋香烤鸡味,"呀土豆薯片,滋香烤鸡味,呀土豆",非饮料,膨化食品
45g双汇泡面拍挡,"双汇泡面拍挡,双汇",非饮料,肉干/豆制品/蛋
48g好丽友薯愿香烤原味,"好丽友薯愿香烤,原味,好丽友",非饮料,膨化食品
500ml康师傅冰糖雪梨,"康师傅冰糖雪梨,康师傅",饮料,果蔬饮料
52g旺旺仙贝,旺旺仙贝,非饮料,膨化食品
65g卫龙亲嘴豆皮,"卫龙亲嘴豆皮,卫龙",非饮料,肉干/豆制品/蛋
68g好丽友巧克力派2枚,"好丽友巧克力派,好丽友",非饮料,饼干糕点
70g乐事薯片黄瓜味,"乐事薯片,黄瓜味,乐事",非饮料,膨化食品
70g乐事薯片原味,"乐事薯片,原味,乐事",非饮料,膨化食品
78g卫龙亲嘴语辣条,"卫龙亲嘴语辣条,卫龙,辣条",非饮料,肉干/豆制品/蛋
上好佳洋葱圈,"上好佳洋葱圈,上好佳",非饮料,膨化食品
诗竹竹纤维面巾纸,"诗竹竹纤维面巾纸,纸巾",非饮料,纸巾
117gUFO炒面铁板色拉鱿鱼风味,"UFO炒面,铁板色拉鱿鱼味",非饮料,方便速食
123gUFO炒面XO酱海鲜风味,"UFO炒面,XO酱海鲜味",非饮料,方便速食
150g旺通葱油薄饼/鸡香,"旺通葱油薄饼,鸡香味",非饮料,膨化食品
150g忆心广东野芒果,"忆心广东野芒果,忆心",非饮料,蜜饯/果干
160g农夫山庄红薯果脯条,"农夫山庄红薯果脯条,农夫山庄",非饮料,蜜饯/果干
160g徐福记芝麻沙琪玛,"徐福记芝麻沙琪玛,徐福记",非饮料,饼干糕点
200ml汇源橙汁100%,汇源橙汁100%,饮料,果蔬饮料
20g马来西亚风味咪咪蟹味粒5744,"咪咪蟹味粒,马来西亚风味",非饮料,膨化食品
220g宝丰龙龟苓膏菊花味,"宝丰龙龟苓膏,菊花味,宝丰龙",非饮料,果冻/龟苓膏
225g味之不规则饼干酸奶味+洋葱味,"味之不规则饼干,酸奶味,洋葱味,饼干",非饮料,饼干糕点
32g卫龙亲嘴烧川香味,"卫龙亲嘴烧,川香味,卫龙",非饮料,肉干/豆制品/蛋
34g公仔迷你杯牛肉味,"公仔迷你杯,牛肉味",非饮料,方便速食
3g美好时光海苔,"美好时光海苔,海苔",非饮料,海味零食
50g不二家棒棒糖,"不二家棒棒糖,不二家",非饮料,糖果/巧克力
70g乐事薯片青柠味,"乐事薯片,青柠味,乐事",非饮料,膨化食品
多力多滋（劲浓芝士味）,"多力多滋,芝士味",非饮料,膨化食品
多力多滋（烈焰烧烤味）,"多力多滋,烧烤味",非饮料,膨化食品
味之不规则饼干（韩国泡菜味）,"味之不规则饼干,韩国泡菜味,味之不规则",非饮料,膨化食品
100g果王咸柑桔罐装,"果王咸柑桔,果王",非饮料,蜜饯/果干
130g果王玉带蚕豆,"果王玉带蚕豆,果王",非饮料,坚果炒货
145g果王迷你山楂包装,"果王迷你山楂,果王",非饮料,蜜饯/果干
150g洽洽原香瓜子,"洽洽原香瓜子,洽洽",非饮料,坚果炒货
250ml维他椰子植物蛋白饮料,"维他椰子植物蛋白饮料,维他",饮料,植物蛋白
30g元朗小蛋卷,"元朗小蛋卷,元朗",非饮料,饼干糕点
91g徐福记凤梨酥,"徐福记凤梨酥,徐福记",非饮料,饼干糕点
250ml维他奶低糖原味,"维他奶,维他,低糖,原味",饮料,植物蛋白
50g上好佳日式鱼果,"上好佳日式鱼果,鱼果,上好佳",非饮料,膨化食品
370g泰奇八宝粥,"泰奇八宝粥,八宝粥,泰奇",非饮料,方便速食
34g公仔迷你杯风味排骨味,"公仔迷你杯,排骨味",非饮料,方便速食
205g伊利安慕希原味,"伊利安慕希,原味,伊利",饮料,乳制品
40g乐事美国经典原味,"原味,乐事",非饮料,膨化食品
40g乐事薯片黄瓜味,"乐事薯片,黄瓜味,乐事,薯片",非饮料,膨化食品
40g呀土豆番茄酱味,"呀土豆,番茄味",非饮料,膨化食品
32g卫龙亲嘴烧,"卫龙亲嘴烧,卫龙",非饮料,肉干/豆制品/蛋
250ml王老吉盒装,王老吉,饮料,茶饮料
180ml雀巢咖啡罐装,"雀巢咖啡,咖啡,雀巢",饮料,咖啡
80g香飘飘椰果奶茶原味,"香飘飘椰果奶茶,原味,香飘飘",饮料,茶饮料
205ml安慕希蓝莓味,"安慕希,蓝莓味,酸奶",饮料,乳制品
83g汤达人酸辣豚骨拉面,"汤达人酸辣豚骨拉面,汤达人,泡面",非饮料,方便速食
55g奥利奥迷你杯夹心小饼干杯装原味,"奥利奥迷你杯夹心小饼干,原味,奥利奥",非饮料,饼干糕点
103g康师傅红烧牛肉面,"康师傅红烧牛肉面,康师傅,泡面",非饮料,方便速食
250ml维他椰子植物蛋白饮料9374,"维他椰子植物蛋白饮料,维他",饮料,植物蛋白
80g香飘飘椰果奶茶麦香味,"香飘飘椰果奶茶,麦香味,香飘飘",饮料,茶饮料
500ml营养快线原味,"营养快线,原味",饮料,乳制品
500ml恒大冰泉矿泉水,"恒大冰泉矿泉水,恒大冰泉,矿泉水",饮料,水
12g劲仔小鱼卤香味,"劲仔小鱼,卤香味",非饮料,肉干/豆制品/蛋
50g双层百力滋奶咖味,"双层百力滋,奶咖味",非饮料,饼干糕点
50g双层百力滋特浓番茄味,"双层百力滋,番茄味",非饮料,饼干糕点
250ml维他椰子味豆奶7716,"维他椰子味豆奶,维他,椰子味,豆奶",饮料,植物蛋白
150抽诗竹竹纤维面巾纸,"抽诗竹竹纤维面巾纸,纸巾",非饮料,纸巾
68g好丽友蛋黄派2枚,"好丽友蛋黄派,好丽友,蛋黄派",非饮料,饼干糕点
250ml维他奶黑豆奶饮品,"维他奶黑豆奶,维他,豆奶",饮料,植物蛋白
5片装益达绿箭口香糖,"益达绿箭口香糖,益达,口香糖",非饮料,糖果/巧克力
55g奥利奥原味夹心饼干,"奥利奥原味夹心饼干,奥利奥,原味,饼干",非饮料,饼干糕点
107g出前一丁桶面酱香牛肉王,"出前一丁桶面酱香牛肉王,泡面",非饮料,方便速食
78g合味道杯面香菇炖鸡风味,"合味道杯面,香菇炖鸡风味,合味道",非饮料,方便速食
13g雀巢咖啡1+2特浓,"雀巢咖啡,雀巢,咖啡",饮料,咖啡
500ml统一冰糖雪梨,"统一冰糖雪梨,统一",饮料,果蔬饮料
好吃点,好吃点,非饮料,饼干糕点
银鹭八宝粥,"银鹭八宝粥,银鹭,八宝粥",饮料,方便速食
营养快线,营养快线,饮料,乳制品
统一冰红茶,"统一冰红茶,统一",饮料,茶饮料
阿萨姆奶茶,"阿萨姆奶茶,阿萨姆,奶茶",饮料,茶饮料
茉莉蜜茶,茉莉蜜茶,饮料,茶饮料
可口可乐（500ml）,可口可乐,饮料,碳酸饮料
小鱼仔,小鱼仔,非饮料,海味零食
东鹏特饮,东鹏特饮,饮料,功能饮料
红利群（硬）,红利群,非饮料,香烟
伊利优酸乳,"伊利优酸乳,伊利,酸奶",饮料,乳制品
香脆肠,"香脆肠,肠",非饮料,肉干/豆制品/蛋
怡宝矿泉水,"怡宝矿泉水,怡宝,矿泉水",饮料,水
统一绿茶,"统一绿茶,统一,绿茶",饮料,茶饮料
维他奶,维他奶,饮料,植物蛋白
卫龙大面筋,"卫龙大面筋,卫龙,辣条",非饮料,肉干/豆制品/蛋
口味王槟榔（绿）,"口味王槟榔,口味王,槟榔",非饮料,蜜饯/果干
香豆干,香豆干,非饮料,肉干/豆制品/蛋
印尼芝士威化饼干,"印尼芝士威化饼干,饼干",非饮料,饼干糕点
王老吉（500ml）,王老吉,饮料,茶饮料
阿萨姆煎茶奶绿,"阿萨姆煎茶奶绿,阿萨姆,煎茶",饮料,茶饮料
康师傅矿泉水,"康师傅矿泉水,康师傅,矿泉水",饮料,水
椰树牌椰汁,"椰树牌椰汁,椰树牌,椰汁",饮料,植物蛋白
小糖衣血糖试纸,小糖衣血糖试纸,非饮料,其他
好吃点小饼干,"好吃点小饼干,好吃点,饼干",非饮料,饼干糕点
商品14,商品14,饮料,其他
伊利纯牛奶,"伊利纯牛奶,伊利,纯牛奶",饮料,乳制品
口味王槟榔（红）,"口味王槟榔,口味王,槟榔",非饮料,蜜饯/果干
脉动,脉动,饮料,功能饮料
怡宝纯净水,"怡宝纯净水,怡宝,纯净水",饮料,水
雪碧330ml,雪碧,饮料,碳酸饮料
雪碧（500ml）,雪碧,饮料,碳酸饮料
王老吉（罐）,王老吉,饮料,茶饮料
芬达330ml,芬达,饮料,碳酸饮料
可口可乐最新款,"可口可乐最新款,可口可乐,最新款",饮料,碳酸饮料
雪碧最新款,"雪碧最新款,雪碧,最新款",饮料,碳酸饮料
可口可乐330ml,可口可乐,饮料,碳酸饮料
果粒橙,果粒橙,饮料,果蔬饮料
鸭翅,鸭翅,非饮料,肉干/豆制品/蛋
美年达（罐）,美年达,饮料,碳酸饮料
冰糖雪梨,冰糖雪梨,饮料,果蔬饮料
百事可乐330ml,百事可乐,饮料,碳酸饮料
小糖衣血糖仪,小糖衣血糖仪,非饮料,其他
小茗同学,小茗同学,饮料,茶饮料
熊字饼,熊字饼,非饮料,饼干糕点
迷你纸巾,"迷你纸巾,纸巾",非饮料,纸巾
汤达人方便面,"汤达人方便面,汤达人,泡面",非饮料,方便速食
商品21,商品21,非饮料,其他
商品1,商品1,饮料,其他
商品2,商品2,饮料,其他
湘潭铺子(羽泉版),湘潭铺子,非饮料,蜜饯/果干
珠江纯生啤酒,"珠江纯生啤酒,珠江,啤酒",饮料,功能饮料
尖叫,尖叫,饮料,功能饮料
怡宝,怡宝,饮料,水
手撕素肉排,手撕素肉排,非饮料,肉干/豆制品/蛋
无穷烤鸡小腿,"无穷烤鸡小腿,无穷",非饮料,肉干/豆制品/蛋
商品36,商品36,非饮料,其他
每日特惠,每日特惠,非饮料,其他
鸡爪,鸡爪,非饮料,肉干/豆制品/蛋
贡美忆江南充电宝5000mAh,"贡美忆江南充电宝,贡美,充电宝",非饮料,其他
利群（硬）,利群,非饮料,香烟
立体声耳机（象牙白）,立体声耳机,非饮料,其他
秒充,秒充,非饮料,其他
百事可乐500ml,百事可乐,饮料,碳酸饮料
乐虎（380ml）,乐虎,饮料,功能饮料
芙蓉王,芙蓉王,非饮料,香烟
贡美苹果数据线,"贡美苹果数据线,贡美,苹果,数据线",非饮料,其他
拿铁咖啡（统一）,"拿铁咖啡,统一",饮料,咖啡
和成天下（黄）,和成天下,非饮料,香烟
冰红茶（罐）,冰红茶,饮料,茶饮料
凤爪,凤爪,非饮料,肉干/豆制品/蛋
康师傅拉面(袋),"康师傅拉面,康师傅,泡面",非饮料,方便速食
和成天下（红）,和成天下,非饮料,香烟
天地一号,天地一号,饮料,果蔬饮料
维他柠檬茶330ml（罐）,"维他柠檬茶,维他,柠檬味",饮料,茶饮料
雪力矿泉水,"雪力矿泉水,雪力,矿泉水",饮料,水
可口可乐330ml（罐）,可口可乐,饮料,碳酸饮料
乐虎,乐虎,饮料,功能饮料
口味王槟榔（绿色）,"口味王槟榔,口味王,槟榔",非饮料,蜜饯/果干
娃哈哈红枣酸奶,"娃哈哈红枣酸奶,娃哈哈,红枣味,酸奶",饮料,乳制品
咪咪,咪咪,非饮料,膨化食品
安慕希酸奶,"安慕希酸奶,安慕希,酸奶",饮料,乳制品
威化饼干,"威化饼干,饼干",非饮料,饼干糕点
经典奶茶,"经典奶茶,奶茶",饮料,茶饮料
芦荟汁,芦荟汁,饮料,果蔬饮料
汤达人桶面,"汤达人桶面,汤达人,泡面",非饮料,方便速食
250ml香满楼纯牛奶,"香满楼纯牛奶,香满楼,纯牛奶",饮料,乳制品
58.5g钙芝奶酪味高钙威化饼干,"钙芝奶酪味高钙威化饼干,奶酪味,钙芝",非饮料,饼干糕点
可乐（500ml）,可乐,饮料,碳酸饮料
